Edad,Sexo,Mayor nivel educativo,Ingreso anual,AÒos de xperiencia laboral,Estado de vivienda,Monto solicitado,Destino de los fondos,Tasa de interÈs,Porcentaje del ingreso,Plazo en aÒos,Puntaje,PrÈstamos previos impagos,Estado
22,FEMENINO,TERCIARIO,75133,0,HIPOTECA,1500,EDUCACION,6.91,0.02,2,640,SI,RECHAZADO
26,FEMENINO,SECUNDARIO,97073,5,INQUILINO,8000,SALUD,12.73,0.08,3,628,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,75605,0,HIPOTECA,17000,EDUCACION,6.91,0.22,3,656,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,98806,0,INQUILINO,8000,EMPRESA,12.84,0.08,2,658,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,99285,4,INQUILINO,8000,EMPRESA,10.99,0.08,3,609,SI,RECHAZADO
26,FEMENINO,MAESTRÌA,75659,2,HIPOTECA,10000,SALUD,7.88,0.13,2,631,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,92187,3,INQUILINO,8000,VIVIENDA,13.48,0.09,4,532,NO,OTORGADO
25,FEMENINO,SECUNDARIO,68038,4,HIPOTECA,2000,VIVIENDA,11.49,0.03,3,585,NO,OTORGADO
22,FEMENINO,TERCIARIO,75252,0,PROPIETARIO,4000,EDUCACION,6.76,0.05,4,613,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,75315,2,HIPOTECA,20000,SALUD,10.38,0.27,4,687,SI,RECHAZADO
25,FEMENINO,TERCIARIO,75577,0,HIPOTECA,2100,EDUCACION,11.86,0.03,2,635,SI,RECHAZADO
24,MASCULINO,UNIVERSITARIO,68433,5,HIPOTECA,10000,EMPRESA,14.35,0.15,4,627,NO,OTORGADO
22,MASCULINO,MAESTRÌA,80763,0,INQUILINO,8000,SALUD,18.39,0.1,4,693,NO,OTORGADO
22,MASCULINO,TERCIARIO,102990,0,INQUILINO,8000,PERSONAL,13.92,0.08,3,600,SI,RECHAZADO
25,MASCULINO,SECUNDARIO,75395,2,HIPOTECA,6000,DEUDAS,7.88,0.08,4,564,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,102761,4,INQUILINO,8000,VIVIENDA,13.06,0.08,2,632,NO,RECHAZADO
25,MASCULINO,TERCIARIO,75644,2,HIPOTECA,10000,DEUDAS,7.88,0.13,3,637,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,75652,0,HIPOTECA,11200,EMPRESA,7.88,0.15,4,570,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,68008,0,HIPOTECA,18000,EDUCACION,10.25,0.26,2,639,NO,OTORGADO
22,MASCULINO,UNIVERSITARIO,103996,3,INQUILINO,8000,EDUCACION,13.92,0.08,2,626,SI,RECHAZADO
26,FEMENINO,TERCIARIO,104934,3,INQUILINO,8000,PERSONAL,10.36,0.08,3,597,SI,RECHAZADO
22,MASCULINO,TERCIARIO,75406,0,HIPOTECA,5000,EMPRESA,8.59,0.07,4,658,SI,RECHAZADO
25,FEMENINO,MAESTRÌA,105579,6,INQUILINO,8000,SALUD,10.37,0.08,2,624,NO,RECHAZADO
25,FEMENINO,UNIVERSITARIO,75092,3,PROPIETARIO,3500,EMPRESA,13.57,0.05,4,653,SI,RECHAZADO
23,MASCULINO,MAESTRÌA,75285,2,HIPOTECA,10000,SALUD,12.18,0.13,2,679,NO,RECHAZADO
22,FEMENINO,TERCIARIO,75276,1,HIPOTECA,6000,EDUCACION,13.92,0.08,4,557,NO,RECHAZADO
23,MASCULINO,MAESTRÌA,75476,0,HIPOTECA,5000,EMPRESA,13.57,0.07,3,526,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,92670,2,INQUILINO,8000,DEUDAS,14.26,0.09,4,610,NO,OTORGADO
26,MASCULINO,UNIVERSITARIO,75367,6,HIPOTECA,12000,PERSONAL,11.01,0.16,4,663,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,109050,7,INQUILINO,8000,EDUCACION,14.27,0.07,3,638,SI,RECHAZADO
24,MASCULINO,MAESTRÌA,75189,2,HIPOTECA,20000,EMPRESA,16.7,0.27,2,653,SI,RECHAZADO
22,FEMENINO,SECUNDARIO,108789,0,INQUILINO,8000,EDUCACION,7.49,0.07,3,624,SI,RECHAZADO
23,MASCULINO,TERCIARIO,75196,1,HIPOTECA,6500,PERSONAL,10.95,0.09,3,579,SI,RECHAZADO
22,MASCULINO,MAESTRÌA,75405,0,PROPIETARIO,10000,EMPRESA,11.58,0.13,2,628,SI,RECHAZADO
23,FEMENINO,TERCIARIO,108931,1,INQUILINO,8000,SALUD,6.92,0.07,3,566,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,108576,1,INQUILINO,8000,DEUDAS,13.35,0.07,3,609,NO,RECHAZADO
22,FEMENINO,TERCIARIO,109339,0,INQUILINO,8000,PERSONAL,11.01,0.07,3,573,SI,RECHAZADO
22,MASCULINO,MAESTRÌA,68311,1,HIPOTECA,15000,SALUD,16,0.22,4,576,NO,OTORGADO
22,MASCULINO,TERCIARIO,110365,1,INQUILINO,8000,PERSONAL,6.92,0.07,4,577,SI,RECHAZADO
22,FEMENINO,UNIVERSITARIO,109923,0,INQUILINO,8000,PERSONAL,11.86,0.07,3,624,SI,RECHAZADO
23,MASCULINO,TERCIARIO,111537,1,INQUILINO,8000,DEUDAS,11.49,0.07,4,669,SI,RECHAZADO
22,MASCULINO,SECUNDARIO,75652,0,HIPOTECA,7500,EDUCACION,13.87,0.1,3,569,SI,RECHAZADO
23,FEMENINO,TERCIARIO,75436,0,HIPOTECA,6400,DEUDAS,10.08,0.08,2,626,NO,RECHAZADO
24,MASCULINO,SECUNDARIO,75371,2,HIPOTECA,8000,VIVIENDA,10.08,0.11,3,657,NO,RECHAZADO
23,MASCULINO,UNIVERSITARIO,75658,0,HIPOTECA,9600,EMPRESA,9.2,0.13,2,640,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,115066,0,INQUILINO,8000,PERSONAL,15.23,0.07,4,576,SI,RECHAZADO
25,FEMENINO,SECUNDARIO,115188,1,INQUILINO,8000,PERSONAL,10.99,0.07,3,596,SI,RECHAZADO
25,MASCULINO,TERCIARIO,114775,2,INQUILINO,8000,VIVIENDA,13.8,0.07,3,646,NO,RECHAZADO
25,MASCULINO,UNIVERSITARIO,115058,2,INQUILINO,8000,DEUDAS,10.36,0.07,3,603,SI,RECHAZADO
22,FEMENINO,SECUNDARIO,75605,0,HIPOTECA,3000,SALUD,8.7,0.04,3,607,SI,RECHAZADO
22,MASCULINO,SECUNDARIO,114684,2,INQUILINO,8000,EDUCACION,12.61,0.07,4,666,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,101960,2,INQUILINO,8000,VIVIENDA,12.61,0.08,4,634,NO,OTORGADO
25,FEMENINO,UNIVERSITARIO,68264,1,HIPOTECA,8000,DEUDAS,11.71,0.12,3,603,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,101680,1,INQUILINO,8000,EMPRESA,16.45,0.08,2,624,NO,OTORGADO
26,MASCULINO,MAESTRÌA,116847,3,INQUILINO,8000,DEUDAS,13.61,0.07,3,704,SI,RECHAZADO
24,FEMENINO,TERCIARIO,67966,2,HIPOTECA,6000,DEUDAS,10,0.09,3,607,NO,OTORGADO
24,FEMENINO,UNIVERSITARIO,117719,4,INQUILINO,8000,EDUCACION,15.31,0.07,3,678,SI,RECHAZADO
26,FEMENINO,SECUNDARIO,75529,7,HIPOTECA,4000,SALUD,9.99,0.05,2,621,NO,RECHAZADO
26,MASCULINO,MAESTRÌA,120995,6,INQUILINO,8000,PERSONAL,16.32,0.07,3,621,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,120991,0,INQUILINO,8000,EMPRESA,7.14,0.07,4,660,NO,RECHAZADO
23,FEMENINO,TERCIARIO,68223,1,HIPOTECA,15000,PERSONAL,11.26,0.22,2,607,NO,OTORGADO
23,MASCULINO,MAESTRÌA,75097,1,HIPOTECA,9600,DEUDAS,10.95,0.13,3,535,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,121059,1,INQUILINO,8000,SALUD,6.54,0.07,3,541,SI,RECHAZADO
25,MASCULINO,TERCIARIO,75486,2,HIPOTECA,15000,VIVIENDA,13.47,0.2,4,652,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,75378,0,HIPOTECA,3600,EDUCACION,7.37,0.05,2,701,NO,RECHAZADO
23,FEMENINO,MAESTRÌA,75339,0,HIPOTECA,10000,SALUD,9.07,0.13,4,619,NO,RECHAZADO
23,FEMENINO,TERCIARIO,108167,1,INQUILINO,8000,DEUDAS,14.74,0.07,3,552,NO,OTORGADO
26,MASCULINO,SECUNDARIO,75613,1,HIPOTECA,9600,EDUCACION,11.71,0.13,4,587,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,126786,0,INQUILINO,8000,DEUDAS,7.51,0.06,3,660,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,75477,4,HIPOTECA,1600,PERSONAL,12.61,0.02,4,660,SI,RECHAZADO
24,MASCULINO,TERCIARIO,75108,1,HIPOTECA,6000,EDUCACION,12.53,0.08,2,643,SI,RECHAZADO
26,MASCULINO,MAESTRÌA,98825,1,INQUILINO,8000,SALUD,16.29,0.08,3,604,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,130639,2,INQUILINO,8000,DEUDAS,9.88,0.06,4,605,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,75602,2,HIPOTECA,18000,PERSONAL,16.63,0.24,3,519,SI,RECHAZADO
24,FEMENINO,SECUNDARIO,132960,6,INQUILINO,8000,PERSONAL,5.99,0.06,3,688,SI,RECHAZADO
25,MASCULINO,MAESTRÌA,138879,5,INQUILINO,8000,EMPRESA,11.71,0.06,4,701,SI,RECHAZADO
22,FEMENINO,UNIVERSITARIO,68400,0,HIPOTECA,12000,DEUDAS,16.29,0.18,2,676,NO,OTORGADO
24,FEMENINO,SECUNDARIO,140798,0,INQUILINO,8000,EMPRESA,16.49,0.06,3,520,SI,RECHAZADO
22,FEMENINO,TERCIARIO,75538,0,PROPIETARIO,5000,SALUD,9.99,0.07,4,687,NO,RECHAZADO
22,MASCULINO,TERCIARIO,130229,0,INQUILINO,8000,PERSONAL,16.29,0.06,2,611,NO,OTORGADO
25,MASCULINO,SECUNDARIO,130905,1,INQUILINO,8000,DEUDAS,16.77,0.06,3,666,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,145316,1,INQUILINO,8000,EDUCACION,11.01,0.06,3,619,NO,RECHAZADO
21,MASCULINO,TERCIARIO,75895,0,HIPOTECA,10000,SALUD,7.66,0.13,4,648,SI,RECHAZADO
23,FEMENINO,SECUNDARIO,76014,0,PROPIETARIO,29800,EDUCACION,10.65,0.39,3,646,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,75549,5,HIPOTECA,21650,PERSONAL,12.69,0.29,4,622,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,145159,1,INQUILINO,8000,EDUCACION,14.61,0.06,4,623,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,148701,3,INQUILINO,8000,SALUD,12.53,0.05,3,605,SI,RECHAZADO
25,MASCULINO,SECUNDARIO,76142,4,PROPIETARIO,15000,SALUD,17.58,0.2,4,690,SI,RECHAZADO
26,MASCULINO,MAESTRÌA,151245,3,INQUILINO,8000,SALUD,9.63,0.05,3,647,SI,RECHAZADO
23,MASCULINO,TERCIARIO,152231,0,INQUILINO,8000,PERSONAL,13.23,0.05,3,658,SI,RECHAZADO
23,FEMENINO,SECUNDARIO,75520,4,HIPOTECA,7200,EMPRESA,8.9,0.1,4,623,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,75557,2,HIPOTECA,4000,PERSONAL,8.9,0.05,4,713,NO,RECHAZADO
23,FEMENINO,TERCIARIO,157085,0,INQUILINO,8000,SALUD,11.99,0.05,3,675,SI,RECHAZADO
26,FEMENINO,TERCIARIO,76194,3,HIPOTECA,11000,DEUDAS,11.01,0.14,3,652,NO,RECHAZADO
25,FEMENINO,SECUNDARIO,163071,2,INQUILINO,8000,EMPRESA,11.01,0.05,3,599,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,75535,0,HIPOTECA,7000,SALUD,13.06,0.09,4,611,NO,RECHAZADO
22,MASCULINO,UNIVERSITARIO,68850,1,HIPOTECA,8400,EDUCACION,14.91,0.12,2,667,NO,OTORGADO
22,MASCULINO,TERCIARIO,68235,1,HIPOTECA,25000,PERSONAL,16.4,0.37,3,632,NO,OTORGADO
24,MASCULINO,SECUNDARIO,158984,3,INQUILINO,8000,DEUDAS,15.99,0.05,2,610,NO,OTORGADO
24,FEMENINO,UNIVERSITARIO,75777,0,HIPOTECA,9500,EDUCACION,6.54,0.13,2,670,NO,RECHAZADO
22,FEMENINO,UNIVERSITARIO,75908,0,HIPOTECA,2400,EDUCACION,14.46,0.03,2,621,NO,RECHAZADO
22,FEMENINO,MAESTRÌA,75733,3,HIPOTECA,12600,EMPRESA,13.85,0.17,2,612,SI,RECHAZADO
25,MASCULINO,MAESTRÌA,75876,2,HIPOTECA,12500,EDUCACION,14.96,0.16,3,682,NO,RECHAZADO
25,FEMENINO,MAESTRÌA,76232,5,HIPOTECA,2000,VIVIENDA,10.99,0.03,4,688,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,221574,4,INQUILINO,8000,PERSONAL,15.62,0.04,4,545,NO,OTORGADO
22,MASCULINO,MAESTRÌA,36987,0,INQUILINO,8050,EDUCACION,12.69,0.22,2,674,NO,OTORGADO
22,MASCULINO,TERCIARIO,58675,1,INQUILINO,8050,EDUCACION,10,0.14,2,497,SI,RECHAZADO
21,MASCULINO,TERCIARIO,61010,0,INQUILINO,8075,DEUDAS,6.17,0.13,2,520,SI,RECHAZADO
22,MASCULINO,TERCIARIO,65707,1,INQUILINO,8075,PERSONAL,13.06,0.12,3,615,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,75779,0,HIPOTECA,12000,EDUCACION,6.91,0.16,2,661,SI,RECHAZADO
23,MASCULINO,MAESTRÌA,94489,1,INQUILINO,8100,DEUDAS,7.29,0.09,2,534,SI,RECHAZADO
24,FEMENINO,SECUNDARIO,103040,2,INQUILINO,8100,VIVIENDA,11.01,0.08,2,672,SI,RECHAZADO
21,MASCULINO,TERCIARIO,30619,0,INQUILINO,8125,EDUCACION,7.9,0.27,3,662,NO,OTORGADO
25,MASCULINO,TERCIARIO,75915,0,HIPOTECA,8000,VIVIENDA,7.51,0.11,2,587,SI,RECHAZADO
23,MASCULINO,MAESTRÌA,36755,1,INQUILINO,8125,EDUCACION,12.68,0.22,3,574,SI,RECHAZADO
21,FEMENINO,TERCIARIO,75708,0,HIPOTECA,5000,EDUCACION,12.53,0.07,3,601,SI,RECHAZADO
21,FEMENINO,TERCIARIO,75800,0,HIPOTECA,13200,EDUCACION,7.9,0.17,3,655,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,76081,0,HIPOTECA,23525,DEUDAS,7.9,0.31,3,613,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,68229,4,INQUILINO,8150,VIVIENDA,12.87,0.12,4,693,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,73814,0,INQUILINO,8150,DEUDAS,17.27,0.11,3,637,NO,OTORGADO
26,MASCULINO,UNIVERSITARIO,75897,3,HIPOTECA,8000,SALUD,11.49,0.11,2,571,SI,RECHAZADO
22,MASCULINO,SECUNDARIO,76278,0,HIPOTECA,10000,PERSONAL,5.99,0.13,3,604,SI,RECHAZADO
25,MASCULINO,TERCIARIO,41571,4,INQUILINO,8200,EMPRESA,12.21,0.2,4,714,SI,RECHAZADO
24,MASCULINO,MAESTRÌA,76212,0,HIPOTECA,6000,EMPRESA,5.79,0.08,2,606,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,49089,4,INQUILINO,8200,EMPRESA,6.62,0.17,4,602,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,50666,0,INQUILINO,8200,SALUD,11.36,0.16,2,545,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,67176,1,INQUILINO,8200,PERSONAL,13.11,0.12,3,607,SI,RECHAZADO
24,MASCULINO,UNIVERSITARIO,76342,1,HIPOTECA,16000,DEUDAS,10.38,0.21,3,651,SI,RECHAZADO
22,MASCULINO,TERCIARIO,180773,0,INQUILINO,8200,EDUCACION,6.99,0.05,3,669,SI,RECHAZADO
21,FEMENINO,SECUNDARIO,31128,0,INQUILINO,8250,EDUCACION,7.49,0.27,4,514,NO,OTORGADO
23,FEMENINO,MAESTRÌA,36719,0,INQUILINO,8250,SALUD,7.51,0.22,4,623,SI,RECHAZADO
23,FEMENINO,UNIVERSITARIO,76087,0,HIPOTECA,9600,SALUD,13.22,0.13,3,674,NO,RECHAZADO
24,FEMENINO,UNIVERSITARIO,75843,4,PROPIETARIO,6500,PERSONAL,13.22,0.09,2,654,SI,RECHAZADO
25,FEMENINO,TERCIARIO,76241,2,HIPOTECA,15000,DEUDAS,6,0.2,3,586,SI,RECHAZADO
23,FEMENINO,TERCIARIO,75593,0,HIPOTECA,4000,EMPRESA,7.43,0.05,3,589,SI,RECHAZADO
21,FEMENINO,UNIVERSITARIO,40285,0,INQUILINO,8250,PERSONAL,11.01,0.2,2,664,NO,RECHAZADO
23,MASCULINO,MAESTRÌA,75497,1,HIPOTECA,12000,EDUCACION,10.74,0.16,4,647,NO,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76105,0,PROPIETARIO,7000,EMPRESA,13.35,0.09,2,628,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,85051,4,INQUILINO,8250,EDUCACION,13.61,0.1,4,681,NO,OTORGADO
24,FEMENINO,SECUNDARIO,76318,2,HIPOTECA,6000,SALUD,10.2,0.08,2,559,SI,RECHAZADO
26,FEMENINO,MAESTRÌA,76250,4,HIPOTECA,4400,SALUD,11.01,0.06,4,647,SI,RECHAZADO
23,FEMENINO,SECUNDARIO,32326,0,INQUILINO,8300,EDUCACION,9.99,0.26,4,678,NO,OTORGADO
25,FEMENINO,TERCIARIO,37091,5,INQUILINO,8300,VIVIENDA,8.9,0.22,3,590,NO,OTORGADO
22,MASCULINO,SECUNDARIO,55124,0,INQUILINO,8300,EDUCACION,10.99,0.15,4,528,SI,RECHAZADO
21,FEMENINO,MAESTRÌA,61188,0,INQUILINO,8300,DEUDAS,8.9,0.14,4,651,NO,RECHAZADO
24,FEMENINO,MAESTRÌA,100474,0,INQUILINO,8300,VIVIENDA,7.88,0.08,2,667,SI,RECHAZADO
22,MASCULINO,SECUNDARIO,76495,0,HIPOTECA,9600,DEUDAS,11.03,0.13,4,590,NO,RECHAZADO
21,FEMENINO,MAESTRÌA,76981,0,HIPOTECA,15000,EDUCACION,11.49,0.19,4,689,SI,RECHAZADO
22,FEMENINO,MAESTRÌA,69272,0,HIPOTECA,10000,EMPRESA,14.59,0.14,2,591,NO,OTORGADO
24,MASCULINO,MAESTRÌA,69315,3,PROPIETARIO,15000,DEUDAS,16.4,0.22,4,695,NO,OTORGADO
25,MASCULINO,SECUNDARIO,76914,1,HIPOTECA,14000,PERSONAL,12.42,0.18,2,553,SI,RECHAZADO
26,MASCULINO,TERCIARIO,38324,2,INQUILINO,8325,PERSONAL,13.49,0.22,3,572,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,94070,0,INQUILINO,8350,DEUDAS,6.99,0.09,3,496,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,37370,0,INQUILINO,8400,EDUCACION,6.03,0.22,3,651,NO,RECHAZADO
23,MASCULINO,UNIVERSITARIO,76565,2,HIPOTECA,20000,EDUCACION,7.9,0.26,2,617,NO,RECHAZADO
24,MASCULINO,SECUNDARIO,76532,2,HIPOTECA,6000,EMPRESA,9.91,0.08,4,649,NO,RECHAZADO
24,FEMENINO,UNIVERSITARIO,38217,2,INQUILINO,8400,EMPRESA,13.23,0.22,3,677,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,39609,0,INQUILINO,8400,DEUDAS,16.77,0.21,4,621,NO,OTORGADO
25,FEMENINO,SECUNDARIO,76555,0,HIPOTECA,20000,SALUD,8.49,0.26,4,639,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,39300,0,INQUILINO,8400,EDUCACION,11.49,0.21,4,642,SI,RECHAZADO
24,MASCULINO,UNIVERSITARIO,76693,3,HIPOTECA,20000,EMPRESA,11.49,0.26,3,666,NO,RECHAZADO
23,MASCULINO,UNIVERSITARIO,76498,1,HIPOTECA,10000,PERSONAL,10.59,0.13,2,580,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,76266,6,HIPOTECA,11000,EMPRESA,11.01,0.14,3,640,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,76889,3,HIPOTECA,7300,EDUCACION,7.49,0.09,2,722,SI,RECHAZADO
21,FEMENINO,SECUNDARIO,76792,0,HIPOTECA,10000,PERSONAL,10.59,0.13,2,657,SI,RECHAZADO
25,FEMENINO,TERCIARIO,42208,4,INQUILINO,8400,PERSONAL,11.01,0.2,4,663,NO,RECHAZADO
25,MASCULINO,UNIVERSITARIO,76793,2,HIPOTECA,20000,VIVIENDA,9.99,0.26,2,650,SI,RECHAZADO
24,MASCULINO,TERCIARIO,43206,0,INQUILINO,8400,EMPRESA,12.87,0.19,4,587,NO,RECHAZADO
23,FEMENINO,MAESTRÌA,76761,0,HIPOTECA,9700,SALUD,5.99,0.13,4,649,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,76226,0,HIPOTECA,11200,DEUDAS,10.99,0.15,4,627,SI,RECHAZADO
26,FEMENINO,SECUNDARIO,44154,6,INQUILINO,8400,SALUD,11.49,0.19,3,652,NO,RECHAZADO
25,MASCULINO,UNIVERSITARIO,44351,0,INQUILINO,8400,PERSONAL,18.64,0.19,4,435,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76538,0,HIPOTECA,10800,SALUD,5.99,0.14,2,554,NO,RECHAZADO
23,FEMENINO,SECUNDARIO,37277,0,INQUILINO,8400,EDUCACION,11.01,0.23,3,599,NO,OTORGADO
24,MASCULINO,SECUNDARIO,44123,3,INQUILINO,8400,EDUCACION,11.26,0.19,4,655,SI,RECHAZADO
23,MASCULINO,MAESTRÌA,76532,0,HIPOTECA,6800,PERSONAL,7.66,0.09,4,690,NO,RECHAZADO
22,FEMENINO,SECUNDARIO,50130,0,INQUILINO,8400,EDUCACION,8.94,0.17,2,637,NO,RECHAZADO
22,FEMENINO,TERCIARIO,76436,0,HIPOTECA,8400,EMPRESA,7.29,0.11,4,664,SI,RECHAZADO
22,MASCULINO,TERCIARIO,76332,1,PROPIETARIO,9000,EDUCACION,11.01,0.12,4,678,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76682,0,HIPOTECA,15000,SALUD,11.01,0.2,3,678,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76583,0,HIPOTECA,12000,SALUD,7.66,0.16,3,526,SI,RECHAZADO
26,MASCULINO,MAESTRÌA,76771,3,HIPOTECA,10000,SALUD,6.91,0.13,2,668,NO,RECHAZADO
26,FEMENINO,TERCIARIO,43529,4,INQUILINO,8400,DEUDAS,17.27,0.19,4,685,NO,OTORGADO
22,MASCULINO,SECUNDARIO,76712,0,HIPOTECA,4500,EDUCACION,5.42,0.06,2,618,NO,RECHAZADO
22,MASCULINO,SECUNDARIO,51336,0,INQUILINO,8400,SALUD,14.35,0.16,4,636,SI,RECHAZADO
26,MASCULINO,TERCIARIO,76965,0,HIPOTECA,10000,VIVIENDA,9.25,0.13,3,574,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76747,0,HIPOTECA,3700,EDUCACION,5.42,0.05,4,547,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,76652,3,HIPOTECA,25000,EDUCACION,11.49,0.33,2,590,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,76408,2,HIPOTECA,6300,EMPRESA,11.49,0.08,4,618,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,55060,1,INQUILINO,8400,EDUCACION,7.9,0.15,3,676,NO,RECHAZADO
23,FEMENINO,SECUNDARIO,47971,1,INQUILINO,8400,PERSONAL,13.79,0.18,2,574,NO,OTORGADO
21,MASCULINO,UNIVERSITARIO,76791,0,HIPOTECA,4800,EMPRESA,11.01,0.06,4,631,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,57547,8,INQUILINO,8400,EMPRESA,11.83,0.15,4,630,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,76943,0,HIPOTECA,8400,SALUD,12.73,0.11,4,574,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,58466,4,INQUILINO,8400,DEUDAS,11.12,0.14,2,516,SI,RECHAZADO
26,FEMENINO,SECUNDARIO,60388,5,INQUILINO,8400,VIVIENDA,14.72,0.14,3,707,NO,RECHAZADO
22,MASCULINO,MAESTRÌA,76480,0,HIPOTECA,8950,PERSONAL,10.99,0.12,4,582,NO,RECHAZADO
25,MASCULINO,UNIVERSITARIO,61146,5,INQUILINO,8400,SALUD,13.22,0.14,3,650,NO,RECHAZADO
26,MASCULINO,SECUNDARIO,53808,3,INQUILINO,8400,SALUD,14.5,0.16,3,611,NO,OTORGADO
26,MASCULINO,SECUNDARIO,62736,2,INQUILINO,8400,DEUDAS,11.99,0.13,3,548,SI,RECHAZADO
22,MASCULINO,MAESTRÌA,62955,0,INQUILINO,8400,PERSONAL,11.97,0.13,3,625,NO,RECHAZADO
26,MASCULINO,MAESTRÌA,63756,3,INQUILINO,8400,SALUD,13.99,0.13,2,699,SI,RECHAZADO
24,MASCULINO,MAESTRÌA,76719,2,PROPIETARIO,17600,VIVIENDA,8.94,0.23,4,684,SI,RECHAZADO
23,MASCULINO,TERCIARIO,63560,3,INQUILINO,8400,EDUCACION,6.17,0.13,3,649,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,56709,2,INQUILINO,8400,SALUD,16.89,0.15,3,623,NO,OTORGADO
22,MASCULINO,SECUNDARIO,76864,0,HIPOTECA,10000,PERSONAL,8.94,0.13,4,628,SI,RECHAZADO
22,FEMENINO,SECUNDARIO,76706,0,HIPOTECA,4000,DEUDAS,11.01,0.05,2,500,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,76450,0,HIPOTECA,20000,PERSONAL,19.13,0.26,3,623,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,59862,4,INQUILINO,8400,EMPRESA,18.25,0.14,4,649,NO,OTORGADO
25,FEMENINO,SECUNDARIO,76499,2,HIPOTECA,11600,DEUDAS,11.01,0.15,4,652,SI,RECHAZADO
25,MASCULINO,TERCIARIO,76678,4,HIPOTECA,7775,DEUDAS,11.01,0.1,3,685,SI,RECHAZADO
25,FEMENINO,TERCIARIO,67099,4,INQUILINO,8400,EDUCACION,13.72,0.13,3,677,NO,RECHAZADO
22,FEMENINO,SECUNDARIO,67194,0,INQUILINO,8400,EMPRESA,7.88,0.13,2,691,SI,RECHAZADO
25,FEMENINO,SECUNDARIO,76644,1,HIPOTECA,3000,EDUCACION,13.47,0.04,2,666,SI,RECHAZADO
26,FEMENINO,MAESTRÌA,66649,1,INQUILINO,8400,SALUD,8.94,0.13,3,603,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,76926,8,HIPOTECA,3500,SALUD,7.68,0.05,4,633,SI,RECHAZADO
23,FEMENINO,MAESTRÌA,68270,2,INQUILINO,8400,DEUDAS,10.99,0.12,2,657,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,76545,2,HIPOTECA,11400,PERSONAL,13.79,0.15,4,676,SI,RECHAZADO
